V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2747.1624012846487,1599.82062913273,2052.4788569808106,1311.3673063479287,164.0255341960092,616.6837620440898,2669.34198989217,1475.5722114112082,328.2304392592887,780.8886671073693,2833.54689495545,3239.7771164744872,2092.4353443225677,2545.093572170649
2131.234681876391,2144.84796312639,2027.3308732826313,440.9441545326313,454.55743578263133,2068.1707170326313,1937.0403459388722,350.65362718887224,364.26690843887224,1977.880189688872,1860.363099845113,1873.976381095113,999,999
2626.825090162126,1943.2885047962875,2859.751919430448,3219.386065771846,935.8494804060069,252.31289504016792,1168.7763096743288,3128.410456015727,844.8738706498875,161.3372852840485,1077.8006999182094,2353.8982608937677,1670.361675527929,2586.8250901620895
2234.0822479076082,1095.6396249567683,1557.197002005928,1192.4787643010493,54.03614135020925,515.593518399369,2577.150895448529,1750.8752806944901,612.4326577436501,1073.9900347928096,3135.5474118419697,2770.829174137091,3232.386551186251,999
2988.882262429244,1444.7935334124834,1500.7048043957236,3156.616075378964,1771.5396365299714,227.4509075132115,283.3621784964517,1939.273449479692,2154.1970106306994,610.1082816139394,666.0195525971795,2321.9308235804197,2592.765655714667,2648.6769266979077
3271.5772580720914,1743.3013960031303,1815.0255339341697,1824.7620151253705,296.4861530564102,368.21029098744964,2039.9344289184887,1977.9467721786505,449.6709101096897,521.3950480407293,2193.1191859717683,2202.85566716297,2274.579805094009,999
2810.130050853748,1613.2199384941875,617.770500291947,1222.3210620897066,1020.8603879323867,25.41094973014652,629.9615115279062,2834.5120733256654,2028.5008373705862,1033.0513991683463,1637.6019609661057,999,999,999
2689.3976717301966,1272.199604097358,1455.0015364645185,3237.803468831679,1568.4329978171568,151.23493018431728,334.03686255147784,2116.8387949186385,2047.4683239041165,630.2702562712769,813.0721886384375,2595.8741210055987,2709.3055823582367,2892.107514725397
3260.27388670699,1576.4913037686313,830.7330099297508,1684.9747160908705,3092.708720830272,746.9504269913922,1.1921331525116436,855.4338393136311,3309.6755454747504,1517.4095502141527,771.6512563752724,1625.8929625363917,3142.110379598033,999
2418.371953091283,2888.810549582522,1585.6553960737238,456.09399256496357,926.5325890562035,2996.971185547443,1223.377435547405,93.81603203864455,564.2546285298845,2634.693225021125,2461.0994750210857,1331.5380715123256,1801.9766680035657,999
3151.8331615961115,1908.1757541887116,2264.5183467813117,1520.9217032627514,277.26429585535186,633.6068884479524,2589.9494810405527,1490.010244929392,246.35283752199206,602.6954301145925,2559.0380227071923,3059.0987865960315,1815.4413791886323,2171.783971781233
2546.031631158282,3207.460202586842,1433.6209168726025,495.0494883011625,1156.478059729722,982.6387740154834,44.0673454440431,705.4959168726028,2966.9244883011625,2131.6566311583633,1193.085202586924,1854.5137740154835,999,999
2959.189422288672,1664.9807780100327,687.0952058707527,1309.2096337314726,992.8865615921128,15.000989452832789,637.1154173135527,2859.229845174272,1920.7923451741929,942.9067730349128,1565.0212008956323,999,999,999
3212.6320216506642,3340.5027324349817,1282.5615559643832,824.6203794937841,1966.679203023185,2552.491090278102,494.54991380750306,36.608737336903886,1178.6675608663045,3364.4794481212225,1306.538271650623,848.597095180024,1990.6559187094251,3260.5854530231436
2292.762322383353,1695.9481630913126,2699.1340037992723,2968.8546896399935,772.0405303479525,175.22637105591224,1178.4122117638717,3048.132897604593,851.3187383125522,254.5045790205119,1257.6904197284719,2530.5969462771523,1933.7827869851114,2936.968627693071
3012.550310559648,3271.675804630807,1198.2963579904876,724.916911350168,1851.5374647098486,2584.0424054213267,510.66295878100715,37.28351214068743,1163.9040655003678,1423.0295595715265,949.6501129312069,2076.2706662908877,999,999
2375.4877543536,1130.3336447645584,1485.179535175517,1326.4595009289594,81.30539133991834,436.15128175087716,2390.9971721618363,1877.4312475043198,632.2771379152784,987.1230283262374,2941.9689187371964,2783.2488844906384,3138.0947749015972,999
1940.2730819057492,1748.4675263501972,3156.661970794645,2246.20996186606,454.40440631050836,262.5988507549564,1670.7932951994044,2360.341286270819,568.5357307152676,376.73017515971554,1784.9246196041636,2282.6670551200264,2090.8614995644743,999
