id_ppt,id_img,order,ppt,image,trial,x,y,duration,train
1,2,1,PP09,1014,25,308.739035087719,369.556949013158,0.228,TRUE
1,2,2,PP09,1014,25,551.591435185185,321.272786458334,0.432,TRUE
1,2,3,PP09,1014,25,583.964285714286,331.774553571428,0.42,TRUE
1,2,4,PP09,1014,25,464.947139303482,257.302355410448,0.402,TRUE
1,2,5,PP09,1014,25,411.948529411765,260.200291053922,0.612,TRUE
1,2,6,PP09,1014,25,255.420353982301,238.518044800885,0.226,TRUE
1,2,7,PP09,1014,25,212.334486166008,217.690834980237,0.506,TRUE
1,2,8,PP09,1014,25,391.628852739726,226.725706335616,0.584,TRUE
1,2,9,PP09,1014,25,85.2951388888888,317.646716889881,1.008,TRUE
1,2,10,PP09,1014,25,374.714912280702,205.209189967105,0.456,TRUE
1,2,11,PP09,1014,25,246.339285714286,209.130449054622,0.238,TRUE
1,2,12,PP09,1014,25,207.177299703264,204.149666172107,0.674,TRUE
1,2,13,PP09,1014,25,319.968463302753,426.105576261468,0.436,TRUE
1,2,14,PP09,1014,25,153.401015228426,434.221327728427,0.394,TRUE
1,6,1,PP09,1099,1,314.578729281768,258.437284185083,0.362,TRUE
1,6,2,PP09,1099,1,156.920126353791,99.7976365072201,0.554,TRUE
1,6,3,PP09,1099,1,115.062003968254,71.4029947916666,0.504,TRUE
1,6,4,PP09,1099,1,282.05563583815,210.82911849711,0.346,TRUE
1,6,5,PP09,1099,1,309.825581395349,201.051507994186,0.172,TRUE
1,6,6,PP09,1099,1,309.1796875,218.13720703125,0.16,TRUE
1,6,7,PP09,1099,1,303.947916666667,189.765625,0.12,TRUE
1,6,8,PP09,1099,1,154.514802631579,102.978515625,0.608,TRUE
1,6,9,PP09,1099,1,314.409466911765,247.685690487132,0.544,TRUE
1,6,10,PP09,1099,1,419.078185328186,275.806889478765,0.518,TRUE
1,6,11,PP09,1099,1,305.003698224852,269.902228180474,0.676,TRUE
1,6,12,PP09,1099,1,199.6171875,428.57177734375,0.48,TRUE
1,6,13,PP09,1099,1,264.294642857143,429.341517857143,0.28,TRUE
1,6,14,PP09,1099,1,209.28228021978,472.536057692307,0.364,TRUE
1,8,1,PP09,1251,12,331.537558685446,402.346500880281,0.426,TRUE
1,8,2,PP09,1251,12,226.775722021661,508.160113944043,0.554,TRUE
1,8,3,PP09,1251,12,256.359289617486,517.405225409836,0.366,TRUE
1,8,4,PP09,1251,12,379.555457746479,111.380391725352,0.852,TRUE
1,8,5,PP09,1251,12,297.484756097561,399.480754573171,0.164,TRUE
1,8,6,PP09,1251,12,301.517116182572,407.642310684647,0.482,TRUE
1,8,7,PP09,1251,12,362.453304597701,126.387392241379,0.348,TRUE
1,8,8,PP09,1251,12,487.223173515982,454.789169520548,0.438,TRUE
1,8,9,PP09,1251,12,298.292910447761,434.214668843283,0.134,TRUE
1,8,10,PP09,1251,12,307.6,437.2265625,0.35,TRUE
1,8,11,PP09,1251,12,391.906512605042,68.0327599789916,0.238,TRUE
1,8,12,PP09,1251,12,297.817857142857,468.783482142857,0.35,TRUE
1,8,13,PP09,1251,12,257.216981132076,523.96079009434,0.212,TRUE
1,9,1,PP09,1266,18,576.963383838384,214.46594854798,1.188,TRUE
1,9,2,PP09,1266,18,715.220170454544,315.52734375,0.352,TRUE
1,9,3,PP09,1266,18,754.085,111.959375,0.75,TRUE
1,9,4,PP09,1266,18,743.693720379144,122.369297985782,0.422,TRUE
1,9,5,PP09,1266,18,172.943181818182,355.461647727272,0.11,TRUE
1,9,6,PP09,1266,18,179.846014492754,316.482676630435,0.138,TRUE
1,9,7,PP09,1266,18,472.87411971831,331.438435299296,0.568,TRUE
1,9,8,PP09,1266,18,602.919642857143,279.852120535714,0.14,TRUE
1,9,9,PP09,1266,18,281.734550561798,234.447419241573,0.178,TRUE
1,10,1,PP09,1306,23,343.245192307692,284.568434495193,0.208,TRUE
1,10,2,PP09,1306,23,313.223958333333,220.419921875,0.24,TRUE
1,10,3,PP09,1306,23,286.035610465116,194.739053415698,0.688,TRUE
1,10,4,PP09,1306,23,452.65625,147.434820130814,0.344,TRUE
1,10,5,PP09,1306,23,510.743801652893,104.408251549587,0.242,TRUE
1,10,6,PP09,1306,23,538.307648401826,87.1013484589043,0.438,TRUE
1,10,7,PP09,1306,23,554.713035019455,70.4652541342412,0.514,TRUE
1,10,8,PP09,1306,23,264.703694817658,162.47675743762,1.042,TRUE
1,10,9,PP09,1306,23,520.225253807107,76.5198683375637,0.394,TRUE
1,10,10,PP09,1306,23,549.208333333333,75.0603693181816,0.33,TRUE
1,10,11,PP09,1306,23,559.016666666667,178.963541666667,0.45,TRUE
1,10,12,PP09,1306,23,318.354007633587,137.044519322519,0.524,TRUE
1,10,14,PP09,1306,23,471.862244897959,183.346619897959,0.294,TRUE
1,10,15,PP09,1306,23,571.501677852349,100.859899328859,0.596,TRUE
1,12,1,PP09,1328,9,472.397836538461,169.687124399038,0.624,TRUE
1,12,2,PP09,1328,9,473.881578947368,30.8902138157895,0.57,TRUE
1,12,3,PP09,1328,9,557.059523809524,339.559151785714,0.42,TRUE
1,12,4,PP09,1328,9,442.225378787879,430.365175189394,0.396,TRUE
1,12,5,PP09,1328,9,343.361307420495,509.274928224381,0.566,TRUE
1,12,6,PP09,1328,9,494.576379974326,172.835767008986,1.558,TRUE
1,12,7,PP09,1328,9,719.01515151515,226.49443655303,0.396,TRUE
1,12,8,PP09,1328,9,762.448347107437,195.523954028926,0.242,TRUE
1,12,9,PP09,1328,9,783.627577319588,111.20731314433,0.388,TRUE
