id_img,image,row,col,idx,x,y,value,value_normalized,saliency_log,log_lik_saliency
1,1001,1,1,1,20.5,20.5,0.042775637776535376,4.6490809703751213e-4,-7.673670812689974,-15.051429720917847
1,1001,2,1,2,60.5,20.5,0.13482782036643176,0.0014653795630525442,-6.525640982662573,-13.903399890890444
1,1001,3,1,3,100.5,20.5,0.18181286250318018,0.0019760376774478703,-6.2266616123038965,-13.604420520531768
1,1001,4,1,4,140.5,20.5,0.16436547556010914,0.0017864103128167382,-6.327547084494433,-13.705305992722305
1,1001,5,1,5,180.5,20.5,0.11813084210194096,0.001283908034053407,-6.657846700848527,-14.035605609076399
1,1001,6,1,6,220.5,20.5,0.09162811346065604,9.958624599981625e-4,-6.911901402286628,-14.2896603105145
1,1001,7,1,7,260.5,20.5,0.08551979459191353,9.294740424554277e-4,-6.980891677545141,-14.358650585773013
1,1001,8,1,8,300.5,20.5,0.0996796951136363,0.0010833712780778442,-6.827677546003984,-14.205436454231856
1,1001,9,1,9,340.5,20.5,0.15133340590821817,0.0016447709354222425,-6.410154153444281,-13.787913061672153
1,1001,10,1,10,380.5,20.5,0.25719432130530245,0.0027953229619055225,-5.879807629173695,-13.257566537401567
1,1001,11,1,11,420.5,20.5,0.27555304177771367,0.0029948551779641285,-5.810859403186808,-13.18861831141468
1,1001,12,1,12,460.5,20.5,0.19756914276016693,0.002147285206448681,-6.143550929388234,-13.521309837616107
1,1001,13,1,13,500.5,20.5,0.11838832776746015,0.0012867065234972426,-6.65566940784195,-14.033428316069823
1,1001,14,1,14,540.5,20.5,0.12212653194599722,0.0013273352898071791,-6.624581888020996,-14.00234079624887
1,1001,15,1,15,580.5,20.5,0.11118274447192783,0.001208392459883004,-6.718464348223787,-14.096223256451658
1,1001,16,1,16,620.5,20.5,0.1077356325152182,0.0011709274367209595,-6.749959163220011,-14.127718071447884
1,1001,17,1,17,660.5,20.5,0.11362147227640548,0.0012348978344771876,-6.696767037443794,-14.074525945671667
1,1001,18,1,18,700.5,20.5,0.1885360941682979,0.0020491092902126203,-6.190350072830281,-13.568108981058153
1,1001,19,1,19,740.5,20.5,0.11131529314792998,0.0012098330685081035,-6.71727288880149,-14.095031797029362
1,1001,20,1,20,780.5,20.5,0.0981986739442541,0.0010672747621795484,-6.8426468307405495,-14.220405738968422
1,1001,1,2,21,20.5,60.5,0.18438436645426853,0.002003986132937194,-6.2126170154754785,-13.590375923703352
1,1001,2,2,22,60.5,60.5,0.39118966414825707,0.004251654722017334,-5.460447025464417,-12.83820593369229
1,1001,3,2,23,100.5,60.5,0.35039811520343883,0.003808310744442536,-5.570569562324978,-12.94832847055285
1,1001,4,2,24,140.5,60.5,0.31045540575218783,0.0033741924002926847,-5.691599272093945,-13.069358180321817
1,1001,5,2,25,180.5,60.5,0.19116516087766472,0.002077683367990764,-6.176501771355555,-13.554260679583427
1,1001,6,2,26,220.5,60.5,0.17575318735592677,0.0019101779454178674,-6.260558876122956,-13.638317784350829
1,1001,7,2,27,260.5,60.5,0.1682217003564841,0.0018283217891855367,-6.304356787970952,-13.682115696198824
1,1001,8,2,28,300.5,60.5,0.18446130756956972,0.002004822369387612,-6.2121998159699086,-13.589958724197782
1,1001,9,2,29,340.5,60.5,0.3833849740760326,0.004166829251304286,-5.480599903790235,-12.858358812018107
1,1001,10,2,30,380.5,60.5,0.6758654826963301,0.007345661029186421,-4.913645476239505,-12.291404384467377
1,1001,11,2,31,420.5,60.5,0.6592710319481224,0.007165303823081503,-4.938504814821323,-12.316263723049197
1,1001,12,2,32,460.5,60.5,0.4616584303790898,0.005017546283473587,-5.294814252927041,-12.672573161154913
1,1001,13,2,33,500.5,60.5,0.2820675587445117,0.0030656583697709853,-5.787492930125329,-13.165251838353202
1,1001,14,2,34,540.5,60.5,0.2774033336887506,0.003014965122223006,-5.804167016955137,-13.181925925183009
1,1001,15,2,35,580.5,60.5,0.27127498571231634,0.002948359017818629,-5.8265065285494915,-13.204265436777364
1,1001,16,2,36,620.5,60.5,0.2329549271172325,0.00253187649538669,-5.978794553383276,-13.35655346161115
1,1001,17,2,37,660.5,60.5,0.24130898948088528,0.002622672832692244,-5.943561316074249,-13.321320224302122
1,1001,18,2,38,700.5,60.5,0.19871290827644564,0.0021597162507830327,-6.1377784312934764,-13.515537339521348
1,1001,19,2,39,740.5,60.5,0.20080770139131818,0.002182483562536755,-6.127291801762611,-13.505050709990483
1,1001,20,2,40,780.5,60.5,0.251684752271426,0.002735442072030366,-5.901462221058089,-13.279221129285961
1,1001,1,3,41,20.5,100.5,0.15360235646907508,0.0016694310817660762,-6.3952723801956965,-13.773031288423569
1,1001,2,3,42,60.5,100.5,0.2479462536466473,0.002694810105524033,-5.916427538875882,-13.294186447103755
1,1001,3,3,43,100.5,100.5,0.23020178888392417,0.0025019539431242266,-5.9906832751307375,-13.36844218335861
1,1001,4,3,44,140.5,100.5,0.21713976105620725,0.002359988964540878,-6.049098335997552,-13.426857244225424
1,1001,5,3,45,180.5,100.5,0.15360854191704418,0.0016694983084631896,-6.395232111780725,-13.772991020008597
1,1001,6,3,46,220.5,100.5,0.14108234233100977,0.0015333569926264021,-6.480295834300498,-13.85805474252837
1,1001,7,3,47,260.5,100.5,0.17411664460052728,0.0018923911392430997,-6.269914096503648,-13.64767300473152
1,1001,8,3,48,300.5,100.5,0.19394336662424147,0.002107878367152838,-6.162073350559397,-13.53983225878727
1,1001,9,3,49,340.5,100.5,0.45181031062800775,0.004910511745805405,-5.316377117391828,-12.6941360256197
