id_ppt,id_img,order,ppt,image,age,trial,x,y,duration,train,log_lik_saliency,n_neighbors
1,1,1,PP09,1001,11.78,2,349.183544303798,276.394877373418,0.79,FALSE,-11.299069115970788,14
1,1,2,PP09,1001,11.78,2,400.15966796875,322.757263183594,2.56,FALSE,-10.855852846657656,12
1,1,3,PP09,1001,11.78,2,377.588414634146,442.774390243903,0.41,FALSE,-10.81512588398264,14
1,1,4,PP09,1001,11.78,2,388.961065573771,266.540087090164,0.61,FALSE,-11.32253263520225,13
1,1,5,PP09,1001,11.78,2,359.102218225419,70.9335656474818,0.834,FALSE,-11.184382378446436,14
1,1,6,PP09,1001,11.78,2,398.706896551724,436.670381073668,0.638,FALSE,-10.601003839343146,13
1,1,7,PP09,1001,11.78,2,705.386235955056,215.308988764045,0.178,FALSE,-11.751351293376787,11
1,1,8,PP09,1001,11.78,2,355.929951690821,228.524116847826,0.414,FALSE,-11.360595886859365,14
1,1,9,PP09,1001,11.78,2,419.143957345972,301.238521919431,0.422,FALSE,-10.81468343743264,13
1,2,1,PP09,1014,11.78,25,308.739035087719,369.556949013158,0.228,TRUE,-10.772797856885859,13
1,2,2,PP09,1014,11.78,25,551.591435185185,321.272786458334,0.432,TRUE,-11.30310969968927,14
1,2,3,PP09,1014,11.78,25,583.964285714286,331.774553571428,0.42,TRUE,-11.536650787407034,12
1,2,4,PP09,1014,11.78,25,464.947139303482,257.302355410448,0.402,TRUE,-11.371394284382994,11
1,2,5,PP09,1014,11.78,25,411.948529411765,260.200291053922,0.612,TRUE,-11.308098288843691,14
1,2,6,PP09,1014,11.78,25,255.420353982301,238.518044800885,0.226,TRUE,-11.769735927797472,14
1,2,7,PP09,1014,11.78,25,212.334486166008,217.690834980237,0.506,TRUE,-11.854756857891633,12
1,2,8,PP09,1014,11.78,25,391.628852739726,226.725706335616,0.584,TRUE,-10.925254311283691,13
1,2,9,PP09,1014,11.78,25,85.2951388888888,317.646716889881,1.008,TRUE,-11.922617736702996,13
1,2,10,PP09,1014,11.78,25,374.714912280702,205.209189967105,0.456,TRUE,-10.925254311283691,14
1,2,11,PP09,1014,11.78,25,246.339285714286,209.130449054622,0.238,TRUE,-11.769735927797472,13
1,2,12,PP09,1014,11.78,25,207.177299703264,204.149666172107,0.674,TRUE,-11.854756857891633,13
1,2,13,PP09,1014,11.78,25,319.968463302753,426.105576261468,0.436,TRUE,-10.697166089933283,14
1,2,14,PP09,1014,11.78,25,153.401015228426,434.221327728427,0.394,TRUE,-11.359225094031771,13
1,3,1,PP09,1049,11.78,17,406.49377593361,318.506872406639,0.482,FALSE,-11.158472212887709,14
1,3,2,PP09,1049,11.78,17,392.119728915662,229.428063817771,0.664,FALSE,-10.97110717314908,13
1,3,3,PP09,1049,11.78,17,459.284274193548,204.473286290323,0.248,FALSE,-10.930378415572118,13
1,3,4,PP09,1049,11.78,17,154.750874125874,8.60877403846154,0.286,FALSE,-12.35808823729721,7
1,3,5,PP09,1049,11.78,17,176.160313901345,0.685783352017939,0.446,FALSE,-12.197384305979433,7
1,3,6,PP09,1049,11.78,17,208.408764367816,29.9703663793103,0.348,FALSE,-11.972868878050521,10
1,3,7,PP09,1049,11.78,17,295.763020833333,96.4355468749998,0.48,FALSE,-11.211193017900019,11
1,3,8,PP09,1049,11.78,17,465.1796875,176.2353515625,0.64,FALSE,-11.151477910169621,11
1,3,9,PP09,1049,11.78,17,241.537698412698,30.3199404761904,0.126,FALSE,-11.670033783270002,10
1,3,10,PP09,1049,11.78,17,487.467893835616,144.313195633562,0.584,FALSE,-11.445110030258567,14
1,3,11,PP09,1049,11.78,17,513.443147590361,187.598832831325,0.664,FALSE,-11.282985862254872,14
1,3,12,PP09,1049,11.78,17,706.428571428569,149.812893907563,0.238,FALSE,-11.131140947962308,13
1,3,13,PP09,1049,11.78,17,713.141741071431,141.959054129464,0.224,FALSE,-11.131140947962308,13
1,3,14,PP09,1049,11.78,17,708.785377358487,163.388119103774,0.106,FALSE,-11.255085264912957,14
1,3,15,PP09,1049,11.78,17,210.770705521473,164.249424846626,0.326,FALSE,-11.501349182590753,14
1,3,16,PP09,1049,11.78,17,209.975,173.056640625,0.2,FALSE,-11.501349182590753,13
