V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
-5.017524219132913,-5.631006367938089,-5.221471836627491,-5.2544542458552455,-5.151721397236969,-5.485893627722022,-5.229923993982211,-5.6043158141874905,-5.667611809726794,-5.3154264616590154,-5.258167359421242,-5.831561105784175,-5.891197419472007,-5.740016317092442
-6.177176784055704,-6.147214576076556,-6.023402296848262,-6.055807289644073,-6.150974383235432,-6.065953453141271,-5.91533577637807,-5.97989534441608,-5.507011657479201,-5.648538206087231,-5.755008730720487,-5.893273001434893,-5.691632138098915,-5.623220603111804
-6.282601854813231,-6.373442041204198,-6.211011312132046,-6.177176784055704,-6.147214576076556,-6.240825764669271,-6.055807289644073,-6.150974383235432,-6.065953453141271,-5.97989534441608,-5.507011657479201,-5.648538206087231,999,999
-5.812970946470089,-5.404342580005821,-5.017524219132913,-5.631006367938089,-5.221471836627491,-5.2544542458552455,-5.151721397236969,-5.485893627722022,-5.229923993982211,-5.6043158141874905,-5.667611809726794,-5.258167359421242,-5.831561105784175,999
-6.349267281141596,-6.297537030086393,-6.157728755005486,-6.956486249627914,-6.260624619052939,-6.218835262046794,-6.1342893193414705,-6.862459953173142,-6.175807832079879,-6.093749097080263,-6.057017161534354,-6.069148908161413,-5.69319572866027,999
-6.007261501265475,-5.9488736455938565,-5.043434276883251,-6.023402296848262,-5.812970946470089,-5.404342580005821,-5.017524219132913,-5.91533577637807,-5.631006367938089,-5.221471836627491,-5.2544542458552455,-5.485893627722022,-5.229923993982211,-5.6043158141874905
-6.282601854813231,-6.147745164995048,-6.211011312132046,-6.177176784055704,-6.147214576076556,-6.023402296848262,-6.055807289644073,-6.150974383235432,-6.065953453141271,-5.91533577637807,-5.507011657479201,-5.648538206087231,-5.755008730720487,999
-6.350953798486284,-6.282601854813231,-6.373442041204198,-6.211011312132046,-6.177176784055704,-6.147214576076556,-6.240825764669271,-6.055807289644073,-6.150974383235432,-6.065953453141271,-5.97989534441608,-5.507011657479201,-5.648538206087231,999
-5.534990160402111,-5.069015382229659,-5.091473873912283,-5.46700333874807,-5.322173082960737,-4.993383615277081,-5.178178259114281,-5.515435204607976,-4.8635126436088765,-5.056885106746617,-5.317645168543256,-5.450447647695891,-5.3343378548392195,-5.428520857858456
-5.69319572866027,-5.817616915892015,-5.790644869961086,-5.691114538450979,-5.65544261937557,-5.400049930442717,-5.392681776459773,-5.631889574775051,-4.780493215999678,-4.527518977047606,-4.492478278392305,-4.638786017311797,-4.615857455144564,999
-5.2434351120153115,-5.141142020120073,-5.0414126077986,-5.623915424807082,-5.563568225999518,-5.454689738231509,-5.382123421959127,-6.084387813984882,-5.9621808679154755,-5.7284195927701385,-5.868939802817702,-5.980280451951175,-5.869137276302674,-5.968267796418897
-5.407156014607759,-5.490940978358499,-5.421098518511857,-5.210877217193193,-5.26732469849288,-5.089801811659852,-5.226595940915916,-5.30566278319511,-5.2434351120153115,-5.141142020120073,-5.0414126077986,-5.563568225999518,-5.454689738231509,999
-5.624599996868738,-5.546333994502411,-5.741327555602366,-5.421098518511857,-5.4476954355134195,-5.579203387598671,-5.26732469849288,-5.089801811659852,-5.226595940915916,-5.374173883078446,-5.141142020120073,-5.0414126077986,-5.310954422319889,999
-6.805555557179232,-6.654305762641008,-6.493601831323232,-6.26908640339432,-6.057284028786112,-5.952839290156891,-5.575941535259619,999,999,999,999,999,999,999
-6.805555557179232,-6.654305762641008,-6.493601831323232,-6.26908640339432,-5.952839290156891,-5.575941535259619,-5.276622548343175,999,999,999,999,999,999,999
-6.654305762641008,-6.493601831323232,-6.26908640339432,-5.966251308613801,-5.952839290156891,-5.575941535259619,-5.276622548343175,-5.390398182103039,-5.498307431339503,-5.161861107798741,999,999,999,999
-6.018244157011431,-5.390398182103039,-5.422313132313862,-5.566968191698656,-5.161861107798741,-5.486170879348685,-5.507410543243819,-5.720330627677384,-5.492158705843653,-5.456173520617437,-5.678544960256687,999,999,999
-5.48251052913851,-5.624599996868738,-5.546333994502411,-5.741327555602366,-5.421098518511857,-5.4476954355134195,-5.579203387598671,-5.672114924705968,-5.089801811659852,-5.226595940915916,-5.374173883078446,999,999,999
-6.493601831323232,-6.26908640339432,-5.966251308613801,-6.018244157011431,-5.575941535259619,-5.276622548343175,-5.390398182103039,-5.422313132313862,-5.161861107798741,-5.486170879348685,999,999,999,999
-5.64397423288301,-5.48251052913851,-5.438922443223372,-5.464734913861992,-5.624599996868738,-5.546333994502411,-5.741327555602366,-5.906494908137754,-5.421098518511857,-5.4476954355134195,-5.579203387598671,-5.672114924705968,-5.226595940915916,-5.374173883078446
-5.546333994502411,-5.741327555602366,-5.906494908137754,-5.867452660566643,-5.4476954355134195,-5.579203387598671,-5.672114924705968,-5.851165591539445,-5.226595940915916,-5.374173883078446,-5.571235707222852,-5.913075630135574,-5.310954422319889,-5.549318778487152
-5.557880957467682,-5.478697763773691,-5.4339969720516414,-5.490240164941281,-5.427358473306108,-5.257102236188688,-4.998591184199118,-5.575360854378905,-5.551302790256757,-5.317573598502259,-5.07855773400665,-5.800214455995496,-5.2202339406855724,999
-5.557880957467682,-5.478697763773691,-5.4339969720516414,-5.452489553521959,-5.490240164941281,-5.427358473306108,-5.257102236188688,-4.998591184199118,-5.575360854378905,-5.551302790256757,-5.317573598502259,-5.07855773400665,-5.800214455995496,999
-5.557880957467682,-5.478697763773691,-5.4339969720516414,-5.490240164941281,-5.427358473306108,-5.257102236188688,-4.998591184199118,-5.575360854378905,-5.551302790256757,-5.317573598502259,-5.07855773400665,-5.907049275374898,-5.800214455995496,-5.2202339406855724
-5.498307431339503,-5.161861107798741,-5.486170879348685,-6.160968844220005,-6.008680073182588,-5.842069610853686,-5.492158705843653,-6.164609201441404,-6.138219624625211,-5.797566707934552,-5.4301954370341345,-5.787860414955866,-5.602718607242831,-5.3939320166448095
-5.498307431339503,-5.161861107798741,-6.160968844220005,-6.008680073182588,-5.842069610853686,-5.492158705843653,-6.164609201441404,-6.138219624625211,-5.797566707934552,-5.4301954370341345,-5.787860414955866,-5.602718607242831,-5.3939320166448095,999
-5.816222176238807,-5.962111352433699,-5.597435194268186,-5.567232684469853,-5.61955033034989,-5.623925361324489,-4.883427874315274,-5.032233571307859,-5.090110288030474,-5.121492377197214,-5.022654039765691,-5.18198952706546,-5.210937240805083,-5.0239335030692605
-5.851761153160987,-6.012472929499547,-5.757392450827665,-6.000713474390067,-5.977526649987654,-5.795944869227485,-5.499800398927931,-5.769361071996725,-5.850631142910276,-5.597677663512874,-5.309046958675689,-5.582558568842822,-5.409508618831731,-5.167561245620623
-5.97858488299846,-5.882702361295048,-6.21119575724494,-5.316884307487795,-5.360972218017744,-6.0494248341112415,-5.959112007558702,-5.9642267574063785,-5.851761153160987,-6.012472929499547,-5.757392450827665,-6.000713474390067,-5.977526649987654,-5.795944869227485
-5.680284512654773,-4.9585055256000485,-5.517068005176958,-5.001004976859367,-5.367721170604527,-4.979797616120227,-5.154038484171217,-4.818422134841684,999,999,999,999,999,999
-7.003287505490034,-6.782385909403763,-6.826782664475038,-6.55968060070244,-6.4832415500012255,-6.21482080105729,-5.97858488299846,-5.882702361295048,-6.21119575724494,-6.15287492962981,-5.316884307487795,-5.360972218017744,-6.0494248341112415,999
-7.003287505490034,-6.782385909403763,-6.826782664475038,-6.55968060070244,-6.4832415500012255,-6.21482080105729,-5.97858488299846,-5.882702361295048,-6.21119575724494,-6.15287492962981,-5.316884307487795,-5.360972218017744,-6.0494248341112415,-5.959112007558702
-6.089094127364414,-6.129810049385309,-5.928491674077513,-5.835692599028651,-5.855445081076488,-5.92449017081806,-5.230096802913005,-5.247624084882621,-5.278386164792743,-5.395785364986783,-5.127288391847783,-5.148079914201489,-5.145470114933368,-5.184421793026707
-5.97858488299846,-6.6845437882379395,-6.258550196394002,-5.316884307487795,-5.360972218017744,-6.401142665867126,-6.343681855624011,-5.9642267574063785,-5.851761153160987,-6.142677797113612,-6.178439805076785,-6.000713474390067,-5.977526649987654,-5.769361071996725
-6.21482080105729,-5.798661094373854,-6.21119575724494,-6.15287492962981,-5.680284512654773,-4.9585055256000485,-6.0494248341112415,-5.959112007558702,-5.517068005176958,-5.001004976859367,-6.012472929499547,-5.757392450827665,-5.367721170604527,999
-5.798661094373854,-4.933064000800858,-6.15287492962981,-5.680284512654773,-4.9585055256000485,-5.959112007558702,-5.517068005176958,-5.001004976859367,-5.757392450827665,-5.367721170604527,-4.979797616120227,999,999,999
-5.798661094373854,-4.933064000800858,-6.15287492962981,-5.680284512654773,-4.9585055256000485,-5.959112007558702,-5.517068005176958,-5.001004976859367,-5.367721170604527,-4.979797616120227,999,999,999,999
-6.826782664475038,-6.55968060070244,-6.4832415500012255,-5.97858488299846,-5.882702361295048,-6.21119575724494,-6.15287492962981,-5.316884307487795,-5.360972218017744,-6.0494248341112415,-5.959112007558702,-5.9642267574063785,-5.851761153160987,-6.012472929499547
-5.1924125876565554,-5.045281843311915,-4.998482034702252,-4.694550458396831,-4.601698905096146,-5.010130323543044,-5.358554655794575,-4.800485987720003,-4.515269066350678,-5.533221713058886,-4.962537803765885,-4.46492106852152,999,999
-5.057607910120327,-5.089191914953313,-5.60471777455076,-5.5199501831420354,-5.483918339870135,-5.92998410093599,-5.146865321292471,-5.3251294828783955,-5.339916855181791,-5.522237030545534,-4.848407613292155,-5.185704943010465,-5.239925410301084,999
-5.5199501831420354,-5.483918339870135,-5.146865321292471,-5.3251294828783955,-5.339916855181791,-5.522237030545534,-4.848407613292155,-5.185704943010465,-5.239925410301084,-5.079167448936685,-5.018621537912052,-4.991796869515753,-4.966885714164269,-5.036109262269529
-4.962537803765885,-4.46492106852152,-5.810304531126074,-5.545910954130534,-5.057607910120327,-5.089191914953313,-5.80999914437988,-5.60471777455076,-5.5199501831420354,-5.483918339870135,-5.146865321292471,-5.3251294828783955,-5.339916855181791,999
-5.522237030545534,-5.239925410301084,-5.079167448936685,-4.911619283107929,-4.966885714164269,-5.036109262269529,-5.039942948518391,-5.018443546106984,-5.0918763103527045,-4.999521644675447,-5.024762524330288,999,999,999
-5.3251294828783955,-5.339916855181791,-5.522237030545534,-4.848407613292155,-5.185704943010465,-5.239925410301084,-5.079167448936685,-5.018621537912052,-4.991796869515753,-4.966885714164269,-5.036109262269529,-4.871095082880761,-5.0918763103527045,999
-4.820442752062721,-5.1924125876565554,-5.045281843311915,-4.737410588882456,-4.901169787523504,-4.998482034702252,-4.694550458396831,-4.601698905096146,-5.010130323543044,-5.358554655794575,-4.800485987720003,-4.515269066350678,-4.962537803765885,999
-4.800485987720003,-4.515269066350678,-5.533221713058886,-4.962537803765885,-4.46492106852152,-4.834866199369241,-5.810304531126074,-5.545910954130534,-5.057607910120327,-5.089191914953313,-5.60471777455076,-5.5199501831420354,-5.483918339870135,999
-5.045281843311915,-4.998482034702252,-4.694550458396831,-4.601698905096146,-5.010130323543044,-5.358554655794575,-4.800485987720003,-4.515269066350678,-4.6319003905055895,-5.533221713058886,-4.962537803765885,-4.46492106852152,999,999
-5.1924125876565554,-5.045281843311915,-4.737410588882456,-4.998482034702252,-4.694550458396831,-4.601698905096146,-4.372356479818089,-5.358554655794575,-4.800485987720003,-4.515269066350678,-5.533221713058886,-4.962537803765885,-4.46492106852152,999
-5.437610771595532,-5.271921188716191,-4.937748639145451,-4.933106929580548,-5.144865398489393,-5.205975950020402,-5.016698389149079,-4.820442752062721,-4.869627503871064,-4.835072683373712,-4.888279895775561,-4.901169787523504,-4.823624306687072,-4.802037899780246
-4.694550458396831,-4.601698905096146,-4.372356479818089,-4.800485987720003,-4.515269066350678,-4.6319003905055895,-4.766517609576238,-4.962537803765885,-4.46492106852152,-4.834866199369241,-5.155136800688617,-5.057607910120327,-5.089191914953313,999
-4.694550458396831,-4.601698905096146,-5.358554655794575,-4.800485987720003,-4.515269066350678,-4.6319003905055895,-5.533221713058886,-4.962537803765885,-4.46492106852152,-4.834866199369241,-5.810304531126074,-5.545910954130534,-5.057607910120327,999
-5.349981598273175,-5.340458063184853,-4.86774404379286,-4.945652668784913,-5.080671265243419,-5.027077233011259,-5.0685272612314884,-5.113515547798743,-5.076552372863457,-5.19335868404347,-5.569546591110321,-5.45135317032071,-5.0097376571964265,-5.194255311861035
-6.8860772564585035,-6.091200713861159,-5.955773294496627,-5.892534832830333,-5.885686945523995,-5.524755590560188,-5.047711327297132,-5.148250626979709,-5.15629802852244,-4.8909575303606205,-4.579368281555014,-4.732335523375045,-4.538789126389828,999
-7.100664720968162,-6.9328104427836665,-6.8860772564585035,-6.3171890282121135,-6.091200713861159,-5.955773294496627,-5.892534832830333,-5.889942517676154,-5.524755590560188,-5.047711327297132,-5.148250626979709,-4.8909575303606205,-4.579368281555014,999
