id_ppt,id_img,order,ppt,image,trial,x,y,duration,train,log_lik_saliency,n_neighbors
1,1,1,PP09,1001,2,349.183544303798,276.394877373418,0.79,FALSE,-11.299069115970788,14
1,1,2,PP09,1001,2,400.15966796875,322.757263183594,2.56,FALSE,-10.855852846657656,12
1,1,3,PP09,1001,2,377.588414634146,442.774390243903,0.41,FALSE,-10.81512588398264,14
1,1,4,PP09,1001,2,388.961065573771,266.540087090164,0.61,FALSE,-11.32253263520225,13
1,1,5,PP09,1001,2,359.102218225419,70.9335656474818,0.834,FALSE,-11.184382378446436,14
1,1,6,PP09,1001,2,398.706896551724,436.670381073668,0.638,FALSE,-10.601003839343146,13
1,1,7,PP09,1001,2,705.386235955056,215.308988764045,0.178,FALSE,-11.751351293376787,11
1,1,8,PP09,1001,2,355.929951690821,228.524116847826,0.414,FALSE,-11.360595886859365,14
1,1,9,PP09,1001,2,419.143957345972,301.238521919431,0.422,FALSE,-10.81468343743264,13
1,3,1,PP09,1049,17,406.49377593361,318.506872406639,0.482,FALSE,-11.158472212887709,14
1,3,2,PP09,1049,17,392.119728915662,229.428063817771,0.664,FALSE,-10.97110717314908,13
1,3,3,PP09,1049,17,459.284274193548,204.473286290323,0.248,FALSE,-10.930378415572118,13
1,3,4,PP09,1049,17,154.750874125874,8.60877403846154,0.286,FALSE,-12.35808823729721,7
1,3,5,PP09,1049,17,176.160313901345,0.685783352017939,0.446,FALSE,-12.197384305979433,7
1,3,6,PP09,1049,17,208.408764367816,29.9703663793103,0.348,FALSE,-11.972868878050521,10
1,3,7,PP09,1049,17,295.763020833333,96.4355468749998,0.48,FALSE,-11.211193017900019,11
1,3,8,PP09,1049,17,465.1796875,176.2353515625,0.64,FALSE,-11.151477910169621,11
1,3,9,PP09,1049,17,241.537698412698,30.3199404761904,0.126,FALSE,-11.670033783270002,10
1,3,10,PP09,1049,17,487.467893835616,144.313195633562,0.584,FALSE,-11.445110030258567,14
1,3,11,PP09,1049,17,513.443147590361,187.598832831325,0.664,FALSE,-11.282985862254872,14
1,3,12,PP09,1049,17,706.428571428569,149.812893907563,0.238,FALSE,-11.131140947962308,13
1,3,13,PP09,1049,17,713.141741071431,141.959054129464,0.224,FALSE,-11.131140947962308,13
1,3,14,PP09,1049,17,708.785377358487,163.388119103774,0.106,FALSE,-11.255085264912957,14
1,3,15,PP09,1049,17,210.770705521473,164.249424846626,0.326,FALSE,-11.501349182590753,14
1,3,16,PP09,1049,17,209.975,173.056640625,0.2,FALSE,-11.501349182590753,13
1,3,17,PP09,1049,17,277.347122302158,457.119772931655,0.278,FALSE,-10.73601604596406,14
1,4,1,PP09,1087,15,654.300103305788,314.926878873967,0.484,FALSE,-11.499727343883686,14
1,4,2,PP09,1087,15,624.695723684211,241.444798519737,0.152,FALSE,-11.555543627817187,14
1,4,3,PP09,1087,15,788.30439814815,244.137912326389,0.864,FALSE,-10.683580090776427,8
1,4,4,PP09,1087,15,632.703947368419,169.631990131579,0.19,FALSE,-11.58648483595125,13
1,4,5,PP09,1087,15,640.105140186919,176.405519859813,0.214,FALSE,-11.58648483595125,14
1,4,6,PP09,1087,15,201.361502347418,289.959286971831,0.426,FALSE,-10.982168639448943,14
1,4,7,PP09,1087,15,570.563936781609,259.27734375,0.348,FALSE,-11.66800923206258,14
1,4,8,PP09,1087,15,714.1335978836,209.923735119047,0.378,FALSE,-11.662894482214902,13
1,4,9,PP09,1087,15,754.681490384612,211.027644230769,0.416,FALSE,-11.220850479833159,11
1,4,10,PP09,1087,15,773.72685185185,208.980034722222,0.27,FALSE,-10.704787451515568,10
1,4,11,PP09,1087,15,631.050531914894,196.207138107903,0.658,FALSE,-11.58648483595125,14
